title,gnis_name,state,locatio
Cross Plains Dam,Black Earth Creek,WI,Cross Plains, Wisconsin
Eagle & Phenix Dam,Chattahoochee River,GA, 
Young's Dam,,PA, 
Dam #1,,WI, 
Masonic Home Dam,Conoy Creek,PA,Elizabethtown, Pennsylvania
Wing Park Dam,Tyler Creek,IL, 
Amish Dam #1,Muddy Creek,PA, 
Farmingdale Dam,,SD, 
McCabe Golf Course Dam,Richland Creek,TN, 
Great Works Dam,Penobscot River,ME, 
Jonesville Millpond Dam,Saint Joseph River,MI, 
Cox Brook Dam,Cox Brook,VT, 
Yorktowne Paper Dam,Mill Creek,PA, 
Knox Hill Dam,,NJ, 
Harpeth River Dam,Harpeth River,TN, 
McArthur Road Dam,Jordan Creek,PA, 
Mill Creek Settling Basin Dam,Mill Creek,WA, 
Forge Pond Dam,,MA, 
Shissler Dam,Bennett Run,PA, 
Carbonton Dam,Deep River,NC,Sanford, North Carolina
Lower Sedgeunkedunk Dam,Sedgeunkedunk Stream,ME, 
Calvert Hurdle Park Dam,Stony Creek,PA, 
Eel River Headwaters Restoration 5,,MA, 
Franconia Paper Co. Dam,Wells River,VT, 
Good Hope Mill Dam,Conodoguinet Creek,PA,Cumberland County, Pennsylvania
Yankee Lake Dam,Yankee Run,OH, 
Bodine Pond Dam,,NJ, 
Robbins Dike Dam,,MA, 
Groton Dam (Sanville Dam),Wells River,VT, 
Wittlinger Dam,Yellow Breeches Creek,PA, 
Ashworth Lake Dam,,OH, 
Rex Tannery Dam,,NH, 
Smelt Hill Dam,Presumpscot River,ME, 
Colfax Dam,Eighteenmile Creek,WI, 
Crowningshield Dam,,NY, 
Okehocking Preserve Dam,Ridley Creek,PA, 
Cascade Dam,North Branch Clinton River,MI, 
Han Maum Dam,,PA, 
Salling Dam,Au Sable River,MI,Grayling, Michigan
Big Spring Run 1,,PA,
Unnamed Dam,Kishacoquillas Creek,PA, 
Southern Sweden 01,,,Southern Sweden
Clark's Mill Dam,Hatton Creek,WI, 
Upper Hathaway Brook Dam,Hathaway Brook,MA, 
Colfax Light Power Dam,Red Cedar River,WI, 
Robin Hood Bridge Dam,Little Lehigh Creek,PA, 
Washburn Mill Pond Dam,Salmon Brook,ME, 
Upper Waterloo Dam,Maunesha River,WI,Waterloo, Wisconsin
Mossy Creek Dam,Mossy Creek,VA, 
Zell Dam,Walla Walla River,OR, 
McDowell Grove Dam,West Branch Du Page River,IL, 
Merrimack Village Dam,Souhegan River,NH,Merrimack, New Hampshire
Smitherman's Dam,Little River,NC, 
Hall Brook Dam,,MA, 
Pursel's Mill Dam,Lopatcong Creek,NJ, 
Mast Point Dam,Salmon Falls River,ME, 
Unnamed (PennDOT) Dam,Fishing Creek,PA, 
Kehly Run Dam No. 3,Kehly Run,PA, 
Unnamed Dam #1 (Lamborn No 1),,CO, 
Kaoshan Stream Dam 2,,,Shei-Pa National Park, Taiwan
Rock Creek Dam,,OR, 
Ben's Creek Intake Dam,,PA, 
Oslo Dam,Manitowoc River,WI, 
Diverting Dam,Coal Creek,PA, 
Monsanto Dam #9,,TN, 
Black Mud Waste Pond C Dam,,WA, 
Chancellorsville Brygadier A Dam,Hunting Run,VA, 
Bigby Dam,Bigby Creek,PA, 
Boyce Pond Dam/Horseshoe Pond Dam,,NH, 
Rosegarden Dam,Yellow Breeches Creek,PA, 
Fossil Creek Diversion Dam,Fossil Creek,AZ, 
TCFD7,,CA, 
Deerskin Dam,Deerskin River,WI, 
Lime Kiln Dam,Milwaukee River,WI, 
Silk Mill Dam,Yokum Brook,MA, 
Mellen Waterworks Dam,City Creek,WI, 
Swett Brook Dam,Swell Brook,ME, 
Horse Creek Dam,,CA, 
Cleversburg Water Supply Dam,Burd Run,PA, 
Dalewood Dam,,, 
Unnamed Dam,,NC, 
Wolf Park Dam,Alum Creek,OH, 
Packerton Dam,Beaver Run,PA, 
Brown Pond Dam,,FL, 
Dorney Park Dam,Cedar Creek,PA, 
Tannery Creek Dam,,MI, 
Lewiston Dam,Clearwater River,ID,Lewiston, Idaho
Farmers Ditch Irrigation Dam,Little Applegate River,OR, 
Lower Poplar Run Reservoir Dam,Poplar Creek,PA, 
Unnamed Irrigation Pushup Dam (Krouse-Haggar Push-up Dam),Applegate River,OR, 
Manchester Mill Dam,Grand River,WI, 
Coal Creek Dam #3,Coal Creek,PA, 
Milltown Dam,Clark Fork,MT,Missoula, Montana
Beardsley Lake Dam,,WI, 
Stearns Dam,Crooked River,OR, 
TCFD11,,CA, 
